PERMNO,date,TICKER,COMNAM,CUSIP,PRC
60871,20090831,ADI,ANALOG DEVICES INC,3265410,28.25
60871,20090930,ADI,ANALOG DEVICES INC,3265410,27.58
60871,20091030,ADI,ANALOG DEVICES INC,3265410,25.63
60871,20091130,ADI,ANALOG DEVICES INC,3265410,29.99
60871,20091231,ADI,ANALOG DEVICES INC,3265410,31.58
60871,20100129,ADI,ANALOG DEVICES INC,3265410,26.96
60871,20100226,ADI,ANALOG DEVICES INC,3265410,29.24
60871,20100331,ADI,ANALOG DEVICES INC,3265410,28.82
60871,20100430,ADI,ANALOG DEVICES INC,3265410,29.93
60871,20100528,ADI,ANALOG DEVICES INC,3265410,29.17
60871,20100630,ADI,ANALOG DEVICES INC,3265410,27.86
60871,20100730,ADI,ANALOG DEVICES INC,3265410,29.71
60871,20100831,ADI,ANALOG DEVICES INC,3265410,27.88
60871,20100930,ADI,ANALOG DEVICES INC,3265410,31.38
60871,20101029,ADI,ANALOG DEVICES INC,3265410,33.67
60871,20101130,ADI,ANALOG DEVICES INC,3265410,35.56
60871,20101231,ADI,ANALOG DEVICES INC,3265410,37.67
60871,20110131,ADI,ANALOG DEVICES INC,3265410,38.83
60871,20110228,ADI,ANALOG DEVICES INC,3265410,39.88
60871,20110331,ADI,ANALOG DEVICES INC,3265410,39.38
60871,20110429,ADI,ANALOG DEVICES INC,3265410,40.31
60871,20110531,ADI,ANALOG DEVICES INC,3265410,41.17
60871,20110630,ADI,ANALOG DEVICES INC,3265410,39.14
60871,20110729,ADI,ANALOG DEVICES INC,3265410,34.4
60871,20110831,ADI,ANALOG DEVICES INC,3265410,33.02
60871,20110930,ADI,ANALOG DEVICES INC,3265410,31.25
60871,20111031,ADI,ANALOG DEVICES INC,3265410,36.57
60871,20111130,ADI,ANALOG DEVICES INC,3265410,34.86
60871,20111230,ADI,ANALOG DEVICES INC,3265410,35.78
60871,20120131,ADI,ANALOG DEVICES INC,3265410,39.13
60871,20120229,ADI,ANALOG DEVICES INC,3265410,39.21
60871,20120330,ADI,ANALOG DEVICES INC,3265410,40.4
60871,20120430,ADI,ANALOG DEVICES INC,3265410,38.98
60871,20120531,ADI,ANALOG DEVICES INC,3265410,36.37
60871,20120629,ADI,ANALOG DEVICES INC,3265410,37.67
60871,20120731,ADI,ANALOG DEVICES INC,3265410,39.08
60871,20120831,ADI,ANALOG DEVICES INC,3265410,39.74
60871,20120928,ADI,ANALOG DEVICES INC,3265410,39.175
60871,20121031,ADI,ANALOG DEVICES INC,3265410,39.1213
60871,20121130,ADI,ANALOG DEVICES INC,3265410,40.6
60871,20121231,ADI,ANALOG DEVICES INC,3265410,42.06
60871,20130131,ADI,ANALOG DEVICES INC,3265410,43.64
60871,20130228,ADI,ANALOG DEVICES INC,3265410,45.22
60871,20130328,ADI,ANALOG DEVICES INC,3265410,46.49
60871,20130430,ADI,ANALOG DEVICES INC,3265410,43.99
60871,20130531,ADI,ANALOG DEVICES INC,3265410,45.93
60871,20130628,ADI,ANALOG DEVICES INC,3265410,45.06
60871,20130731,ADI,ANALOG DEVICES INC,3265410,49.38
60871,20130830,ADI,ANALOG DEVICES INC,3265410,46.28
60871,20130930,ADI,ANALOG DEVICES INC,3265410,47.05
60871,20131031,ADI,ANALOG DEVICES INC,3265410,49.3
60871,20131129,ADI,ANALOG DEVICES INC,3265410,48.22
60871,20131231,ADI,ANALOG DEVICES INC,3265410,50.93
60871,20140131,ADI,ANALOG DEVICES INC,3265410,48.27
